2026-07-04 19:39:11,Driver Active,Driver (Adult),WARNING: DROWSINESS DETECTED
2026-07-04 19:43:11,Driver Active,Driver (Adult),WARNING: DROWSINESS DETECTED
2026-07-05 11:35:43,Passenger Present,Passenger,WARNING: DROWSINESS DETECTED
2026-07-05 11:36:51,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-07-05 11:48:48,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-07-05 11:50:04,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-07-05 11:52:50,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-07-05 11:52:59,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-07-05 11:53:04,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-07-07 23:40:14,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-07-07 23:40:23,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-07-13 14:13:36,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-07-13 14:13:48,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-07-13 14:13:56,Passenger Present,Passenger,WARNING: DROWSINESS DETECTED
2026-07-13 14:13:59,Passenger Present,Passenger,CRITICAL: DRIVER SLEEP DETECTED
2026-07-13 14:14:30,Passenger Present,Passenger,WARNING: DROWSINESS DETECTED
2026-07-13 14:14:44,Empty Seat,N/A,PLEASE FOCUS ON THE ROAD
2026-07-13 14:15:02,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-07-13 14:15:05,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-07-13 14:15:08,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-07-13 14:15:08,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-07-13 14:15:19,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-07-13 14:15:24,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-07-13 14:15:27,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-07-13 14:15:28,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-07-13 14:16:01,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-07-13 14:16:24,Driver Active,Driver (Adult),WARNING: DROWSINESS DETECTED
2026-07-13 14:16:24,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-08-17 18:05:58,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-08-17 18:06:19,Passenger Present,Passenger,WARNING: DROWSINESS DETECTED
2026-08-17 18:06:22,Passenger Present,Passenger,CRITICAL: DRIVER SLEEP DETECTED
2026-08-17 18:06:42,Driver Active,Driver (Adult),WARNING: DROWSINESS DETECTED
2026-08-17 18:06:43,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 18:08:40,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-08-17 18:08:40,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 18:08:41,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-08-17 18:08:41,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-08-17 18:08:43,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-08-17 18:08:44,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 18:21:29,Empty Seat,N/A,PLEASE FOCUS ON THE ROAD
2026-08-17 18:36:34,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
